"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000037196",35.5722000048647,-0.107825515740848,0.207138370076742,-0.520548248501235,0.60268150858156,0.814455990922417
"ENSMUSG00000020307",1589.78478349187,0.140421087840826,0.0532238182552835,2.63831292913463,0.00833196565008094,0.0521158294787698
"ENSMUSG00000103133",8.61175588953384,-0.0288785262581185,0.412638954696337,-0.0699849733755029,0.944205619818585,0.981591830291125
"ENSMUSG00000029228",49.2582870665745,-0.129870235874574,0.177781124908196,-0.730506323107344,0.465080749364755,0.717383172441493
"ENSMUSG00000059058",35.105256154097,0.515834212971665,0.204378520284907,2.52391597831604,0.0116055663391874,0.0660567853231972
"ENSMUSG00000009013",2271.61331516836,0.0925504642958895,0.0458641771995395,2.01792488052786,0.0435990853753366,0.170822682318014
"ENSMUSG00000078908",751.308558848091,0.0162480670514388,0.0519869914157721,0.312541014760652,0.754629397733664,0.897508413532341
"ENSMUSG00000080885",28.2626092134146,0.343391505826289,0.257296969754546,1.33461154305033,0.182003518104542,0.42644742508979
"ENSMUSG00000006344",8.74175512083611,-0.531056772787446,0.491104114808469,-1.08135272496049,0.279540242276111,0.547676256262187
"ENSMUSG00000110156",18.6269018966725,-0.0360790447353623,0.266865671367724,-0.135195525713188,0.892457284580427,0.959936016482912
"ENSMUSG00000107215",32.8848932237998,-0.46805022472685,0.220355750066522,-2.12406630907318,0.0336645992368562,0.14228779433342
"ENSMUSG00000115767",27.1854646743118,-0.367442546469056,0.231140004479591,-1.58969689083613,0.111903144860177,0.319241381433162
"ENSMUSG00000015619",9.62945742441075,0.775017338917701,0.444002763289254,1.74552368362807,0.0808937535520153,0.25949271464973
"ENSMUSG00000029647",1144.21960058783,-0.0548015980833802,0.0484070342456462,-1.13209988873279,0.257592441664861,0.524093474916209
"ENSMUSG00000029185",87.3387914426711,0.00372220915802518,0.183008975183052,0.0203389432365385,0.983772989994502,0.995167210495298
"ENSMUSG00000097157",5.6500333569048,-1.05931801034104,0.548262527599966,-1.93213644379133,0.053342667215668,0.19587504720524
"ENSMUSG00000054894",84.789287896549,-0.00291786848984201,0.130985407744915,-0.0222762866496118,0.982227564700401,0.9944577463481
"ENSMUSG00000055725",119.428142392443,0.012853185261813,0.129822898722013,0.0990055328323496,0.921133877125478,0.971524097771977
"ENSMUSG00000037022",212.280668943727,-0.12826583122309,0.0953202750993897,-1.34563009904607,0.178421839672138,0.421351811743311
"ENSMUSG00000102549",12.4407810356906,-0.787803174858709,0.360439746861599,-2.18567231199729,0.0288395879806592,0.127444548161631
"ENSMUSG00000024592",177.350325969717,-0.211228770579684,0.0977471849604849,-2.16097037132144,0.0306976282042359,0.1330317863902
"ENSMUSG00000097760",9.5413816005175,-0.21968805039589,0.363508071381707,-0.604355357395087,0.545607409470643,0.777400005493968
"ENSMUSG00000034110",163.405954216633,-0.203300652800833,0.109895686711603,-1.84994205763827,0.0643219012568701,0.222541509866242
"ENSMUSG00000038872",340.69150965764,-0.0751203388346843,0.0979913996195411,-0.766601345897136,0.443318575020565,0.701175214762934
"ENSMUSG00000063047",184.710889915747,-0.00410757407538617,0.0940280898734465,-0.0436845423629747,0.965155860861493,0.988245403665518
"ENSMUSG00000022487",4.34183211093083,-0.411850194480966,0.625409579405105,-0.658528759461474,0.510198423207853,NA
"ENSMUSG00000022297",78.7657447799527,-0.120008608835149,0.131202844844275,-0.914679929216377,0.360359684022771,0.627878845678098
"ENSMUSG00000112517",9.26140531295997,-1.42540277341339,0.45209222603635,-3.15290264092881,0.00161655712407505,0.0150559174202516
"ENSMUSG00000019792",176.074863648376,0.117352253468354,0.109204806550467,1.07460703585535,0.282550700476055,0.550909448628966
"ENSMUSG00000059409",912.371975903615,-0.0877624805369718,0.0577812776240289,-1.51887400462178,0.128794213491996,0.348895067944731
